,id,link,coordinates,address,stars
50,30728281236,https://yandex.ru/maps/org/ozon/30728281236/,"30.445882,60.064809","просп. Авиаторов Балтики, 25, Мурино",4.3
51,31067601752,https://yandex.ru/maps/org/ozon/31067601752/,"30.300527,59.967792","ул. Всеволода Вишневского, 9",4.2
52,32276553104,https://yandex.ru/maps/org/ozon/32276553104/,"30.460128,60.033639","аллея Евгения Шварца, 6",4.3
53,32637043758,https://yandex.ru/maps/org/ozon/32637043758/,"30.404465,60.005960","ул. Бутлерова, 11, корп. 4",4.6
54,33828409875,https://yandex.ru/maps/org/ozon/33828409875/,"30.225154,60.035566","Комендантский просп., 60, корп. 1",4.4
55,33829950687,https://yandex.ru/maps/org/ozon/33829950687/,"30.155512,60.006586","Новая ул., 51, корп. 9, территория Лахта",4.7
56,34907133208,https://yandex.ru/maps/org/ozon/34907133208/,"30.436738,59.978463","Екатерининский просп., 2",4.8
57,35906237694,https://yandex.ru/maps/org/ozon/35906237694/,"30.490609,59.936384","Хасанская ул., 18, корп. 1",4.5
58,35960134493,https://yandex.ru/maps/org/ozon/35960134493/,"30.237741,60.036064","просп. Королёва, 73",4.9
59,36649944122,https://yandex.ru/maps/org/ozon/36649944122/,"30.448936,60.031562","просп. Маршака, 12, корп. 1",4.4
60,36736535077,https://yandex.ru/maps/org/ozon/36736535077/,"30.348657,59.939561","Литейный просп., 36, этаж цокольный",4.2
61,37850845349,https://yandex.ru/maps/org/ozon/37850845349/,"30.238227,60.002778","Богатырский просп., 36, корп. 1",4.7
62,37979522311,https://yandex.ru/maps/org/ozon/37979522311/,"30.446547,59.903068","Архивная ул., 9, корп. 1, подъезд 1",4.2
63,38212363004,https://yandex.ru/maps/org/ozon/38212363004/,"30.323021,60.034316","ул. Сикейроса, 1",4.7
64,38334586861,https://yandex.ru/maps/org/ozon/38334586861/,"30.279641,60.020853","Репищева ул., 10, корп. 1",4.5
65,39145938304,https://yandex.ru/maps/org/ozon/39145938304/,"30.260633,59.984570","ул. Савушкина, 73, этаж 1",4.5
66,39367645191,https://yandex.ru/maps/org/ozon/39367645191/,"30.278994,60.016515","просп. Сизова, 25",4.7
67,39391699249,https://yandex.ru/maps/org/ozon/39391699249/,"30.482975,59.952811","просп. Наставников, 36, корп. 1",4.5
68,39673708169,https://yandex.ru/maps/org/ozon/39673708169/,"30.336890,59.934725","Малая Садовая ул., 3/54, подъезд 8",4.0
69,40077388433,https://yandex.ru/maps/org/ozon/40077388433/,"30.314825,59.999928","ул. Матроса Железняка, 57",4.5
70,41516841326,https://yandex.ru/maps/org/ozon/41516841326/,"30.326537,60.024448","просп. Тореза, 81, корп. 1, этаж 1",4.4
71,42052602519,https://yandex.ru/maps/org/ozon/42052602519/,"30.383525,59.937495","ул. Моисеенко, 23",4.4
72,42936859933,https://yandex.ru/maps/org/ozon/42936859933/,"30.347818,59.926721","Большая Московская ул., 6В",4.3
73,43444318710,https://yandex.ru/maps/org/ozon/43444318710/,"30.483280,59.952130","просп. Наставников, 34",4.2
74,44551846782,https://yandex.ru/maps/org/ozon/44551846782/,"30.380837,60.024585","Светлановский просп., 46, корп. 1",4.3
75,44584730892,https://yandex.ru/maps/org/ozon/44584730892/,"30.324068,59.888959","ул. Коли Томчака, 11/17",4.3
76,44709993881,https://yandex.ru/maps/org/ozon/44709993881/,"30.284378,59.921290","Дровяной пер., 16, этаж 1",4.4
77,48014200847,https://yandex.ru/maps/org/ozon/48014200847/,"30.396531,59.914465","ул. Профессора Качалова, 7, БЦ Мельник, этаж 1",4.8
78,48777230111,https://yandex.ru/maps/org/ozon/48777230111/,"30.289321,60.022929","Вербная ул., 19, корп. 2",4.2
