id,date,stars,review_text
36180355772,2023-02-07 13:58:53.457,2.0,"Ощущение ,что в этот пункт выдачи сотрудников отправляют в ссылку, либо тех, кто дорабатывает две недели. Постоянные посторонние запахи, беспорядок. Люди мёртвые ,еле двигаются, желания работать в глазах не видно совсем. Бывают исключения ,но надолго не задерживаются. Текучка сумасшедшая , каждые два дня новый сотрудник."
36180355772,2023-09-27 12:29:26.627,2.0,"Очень долго стоим в очередях, как в старые добрые ссср. Из плюсов можно завести знакомство и весело обсудить персонал."
36180355772,2023-09-06 07:54:20.335,1.0,"не покупайте ничего в озон типа мебели, поставили срок доставки 5дней, после оплаты изменили на 1.5 месяца при отмене заказа удержали 1500 р ни за что"
36180355772,2023-09-29 07:30:06.401,1.0,"В расписании указано, что пункт выдачи работает с 9:00, сотрудников нет по половины одиннадцатого. Опаздала на работу из-за халатности работников"
36180355772,2023-10-16 15:14:17.370,1.0,"Огромная очередь, долго ищут заказы, у кого-то они просто потеряны, просят перезаказать, при том, что люди уже приходили и их также отправляли назад со словами ""поищем"". Ужасная грязь и мусор. Клиенты сами ищут свои товары в поддонах Единственный луч света - сотрудник, сохраняющий спокойствие и добродущие в этом откровенном ""аду"". Компания не уважает себя, своих сотрудников и клиентов, допуская такую ситуацию"
36180355772,2022-10-05 11:33:27.505,5.0,"Всё супер! Только чтоб текучки персонала не было, а то новенькие много портачат, видимо сотрудникам маловато платят за приёмку товаров сразу озона и яндекса(А так всё супер приёмка и отдача заказов быстрая, сотрудники молодцы! Без очередей!"
36180355772,2022-09-04 11:38:39.162,1.0,"Магазин испортился, обманывают, деньги не возвращают, не привозят заказы во время, ждешь порой по три недели, кормят завтраками, операторов на телефоне нет, в приложении отвечают шаблонами. Очень разочаровалась, удалила приложение, больше не буду пользоваться этой отвратной конторой. Даже одной звеззы им много."
36180355772,2024-01-07 04:42:57.609,5.0,"Удобно, в центре города"
36180355772,2023-09-30 18:05:16.672,5.0,"Ответственный персонал, выполняющий свою работу в лучшем виде"
36180355772,2022-12-19 16:40:35.067,1.0,"16 декабря Пришли в 20:58,пункт выдачи до 21:00 передо мной 2 человека,сотрудница сообщила что может обслужить только 2х человек,почему?я турист,у меня ночью поезд и что мне делать?я ей сказала об этом,на что она закатила глаза,разговаривала матом,2 человека передо мной распаковывали товар,смотрели,возвращали В итоге мне выдали мой оплаченный заказ,на слово «спасибо»,не было ответа,займитесь пожалуйста вопросом этой изумительной девушки(блондинка,пацанка)"
36180355772,2023-11-28 16:15:54.091,1.0,"Очень долго выдают заказ, часто его попросту не находят"
36180355772,2023-10-06 13:59:21.015,1.0,"Очень долгие очереди, кучу коробок валяется, выбирайте другой пункт"
36180355772,2023-06-19 16:37:14.937,1.0,"Некомпетентные сотрудники! Постоянный бардак! Долго ищут заказы! На одной стойке сразу выдают посылки озон и Яндекс хотя есть разделение, очень странно."
36180355772,2023-09-03 16:01:22.246,1.0,Постоянные очериди и смена персонала.
36180355772,2023-08-01 14:52:02.507,3.0,Один человек на два пункта. Очень долго ждали
36180355772,2023-01-16 19:57:55.937,5.0,"Пришёл, увидел,... получил) Салон аккуратный, как и большинство ОЗОНовских."
36180355772,2023-03-31 11:42:23.810,5.0,"Удобно, быстро, вежливо и хорошо"
36180355772,2022-12-27 06:18:53.527,1.0,"27-го декабря в 09.18 пункт закрыт. На улице -8, ждём закаляемся. Пустили - внутри грязища."
36180355772,2023-09-18 10:53:52.654,1.0,Длинная очередь всегда в любое время
36180355772,2022-10-31 08:36:35.768,3.0,"После смены сотрудников стали очень долго выдавать, могут игнорировать людей в очереди"
36180355772,2022-09-10 13:16:12.247,1.0,"Пятый раз переносят заказ . Служба поддержки отписывается, никто ничего не знает и делать не хочет."
36180355772,2023-01-12 09:49:56.971,4.0,От сотрудника очень пахло потом на весь пункт выдачи.
36180355772,2022-01-15 16:39:24.103,5.0,очень удобно и близко и персонал хороший оперативный
36180355772,2024-01-30 07:16:59.238,5.0,На очереди никогда не попадал
36180355772,2022-09-04 13:16:56.007,1.0,"Ужас. Заказ везли неделю, выдали заказ курьеру, так он ещё неделю доставлял"
36180355772,2022-12-19 06:09:22.894,1.0,Написано что открыта 09:00-21:00 но никого нет
36180355772,2022-09-26 16:39:09.924,1.0,"Закрываются раньше срока, обслуживание так себе."
36180355772,2022-03-08 17:58:14.420,1.0,"На телефон не хотят отвечать!!! В чате не достучатся, переносы постоянные, задолболи!!!"
36180355772,2022-12-27 19:03:45.768,1.0,Постоянные очереди. Иногда привозят не тот товар. Помещение завалено посылками.
135299984189,2024-04-27 09:39:32.768,5.0,"Приятные сотрудники, быстрая доставка и вежливое обслуживание, спасибо!"
108880513445,09-11-2023 00:00:00.000,1.0,"Отвратительный пункт выдачи, расположенный в отделении почты. Сотрудники реально, как в мультфильме Зверополис. Я ожидала в очереди 40 минут. Но это ещё полбеды - сам пункт выдачи не найти. То, что он в отделении почты я смогла узнать только у оператора в чате. На самом здании ни наклейки, ни вывески. Пришлось потратить час, чтобы заглянуть во все близлежащие парадки. Не советую заказывать сюда."
108880513445,09-11-2023 00:00:00.000,1.0,"Получение через почту России, выдача очень долгая, минут 20 ждал"
211626983784,2024-03-21 18:07:47.429,5.0,"После ремонта пункт преобразился, приятно зайти - появилось свободное пространство, две примерочные, столик для осмотра заказа, всегда в доступе бесплатные пакеты, светло и чистенько. Когда бы не зашла работает два оператора, даже в час пик очередь не больше двух человек, всё оперативно."
211626983784,2024-05-09 14:19:21.344,1.0,"Был любимый пункт. Там я познакомилась с классными людьми, постоянно заказывая новые товары. Когда оттуда ушли все замечательные работники, которых я знала, на смену им пришел абсолютный хам. Все чаще мои друзья и знакомые, родственники стали говорить о том, что им хамят в ПВЗ. Впервые за долгое время я вновь воспользовалась этим пунктом и было доведена до слез хамством сотрудника Коли. (см. Скрины)   Днём после работы в районе четырех часов я зашла, чтобы оставить досудебную претензию. К сожалению, книги жалоб и предложений в пункте не нашлось. Надеюсь, что когда я вернусь с отдыха, книга все же появится на своем месте. Впрочем, я могу просто не успеть туда заехать, поэтому могу воспользоваться письмом на ваш юридический адрес, чтобы отправить досудебную претензию. Эду ответа на этот отзыв, где будет сказано, куда мне ее направлять. Ведь у вас нет уголка потребителя, с которым я могу ознакомиться. В стандартный перечень документов для уголка потребителя входят: копия бланка о государственной регистрации продавца, санитарно-эпидемиологическое заключение Роспотребнадзора, заключение Госпожнадзора (МЧС) на соответствии помещения пожарным правилам, книга отзывов и предложений, Закон «О защите прав потребителей», Правила торговли.   Пользоваться теперь буду другим пунктом. Мои друзья, близкие тоже.   40635446-1196 номер заказа."
211626983784,2024-03-20 15:32:22.985,2.0,"У нас был замечательный пункт, в нем были замечательные сотрудники(три девушки и молодой человек) - вежливые, расторопные, всегда было приятно в него приходить. Всегда шли навстречу, помогали при необходимости.   Те, кто работает теперь, даже не здороваются... Сегодня мне выдавали посылку без единого слова... С видом, будто отрываю из от великих задач. Надеюсь, все это как-то временно..."
