id,link,coordinates,address,stars
104805762965,https://yandex.ru/maps/org/ozon/104805762965/,"30.327810,59.955443","Мичуринская ул., 10А",4.4
191803881216,https://yandex.ru/maps/org/ozon/191803881216/,"30.345048,59.960316","Большой Сампсониевский просп., 20",4.4
233515769318,https://yandex.ru/maps/org/ozon/233515769318/,"30.295256,60.006182","аллея Поликарпова, 2",4.5
157146537082,https://yandex.ru/maps/org/ozon/157146537082/,"30.374899,59.980288","просп. Маршала Блюхера, 7, корп. 1",4.6
82009742912,https://yandex.ru/maps/org/ozon/82009742912/,"30.223505,60.004284","Яхтенная ул., 34",4.9
170270580875,https://yandex.ru/maps/org/ozon/170270580875/,"30.269555,60.020017","Парашютная ул., 25, корп. 2",4.9
175589051221,https://yandex.ru/maps/org/ozon/175589051221/,"30.330500,59.976818","ул. Александра Матросова, 1, этаж 1",4.0
213303901602,https://yandex.ru/maps/org/ozon/213303901602/,"30.225254,59.941949","ул. Нахимова, 5, корп. 1",4.9
10187133882,https://yandex.ru/maps/org/ozon/10187133882/,"30.327166,60.000964","просп. Энгельса, 16, корп. 2, помещение 17-Н",4.6
53859923946,https://yandex.ru/maps/org/ozon/53859923946/,"30.227943,59.960568","Морская наб., 39, корп. 2",4.4
54435425663,https://yandex.ru/maps/org/ozon/54435425663/,"30.312594,60.013535","Фермское ш., 16",4.4
143805600372,https://yandex.ru/maps/org/ozon/143805600372/,"30.215800,59.985144","Яхтенная ул., 3, корп. 1",4.8
188158766531,https://yandex.ru/maps/org/ozon/188158766531/,"30.279285,60.011893","просп. Королёва, 21, корп. 1",4.3
236318121183,https://yandex.ru/maps/org/ozon/236318121183/,"30.386615,59.974893","просп. Металлистов, 115, Отель ""Полюстрово"", вход сбоку за рестораном Almond, этаж 1",4.7
83845014722,https://yandex.ru/maps/org/ozon/83845014722/,"30.417976,60.032121","Гражданский просп., 117, корп. 1, Ulmart",3.9
38212363004,https://yandex.ru/maps/org/ozon/38212363004/,"30.323021,60.034316","ул. Сикейроса, 1",4.7
58932820598,https://yandex.ru/maps/org/ozon/58932820598/,"30.270993,59.972709","Константиновский просп., 11, этаж 1",4.4
112986951078,https://yandex.ru/maps/org/ozon/112986951078/,"30.269693,59.963039","Пионерская ул., 50",4.4
179431086121,https://yandex.ru/maps/org/ozon/179431086121/,"30.248821,60.029059","просп. Королёва, 59, корп. 4, этаж 1",4.8
74626912791,https://yandex.ru/maps/org/ozon/74626912791/,"30.298909,60.033372","1-я Утиная ул., 28",4.7
13682391150,https://yandex.ru/maps/org/ozon/13682391150/,"30.302431,59.955165","ул. Лизы Чайкиной, 17",3.9
34907133208,https://yandex.ru/maps/org/ozon/34907133208/,"30.436738,59.978463","Екатерининский просп., 2",4.8
59504647084,https://yandex.ru/maps/org/ozon/59504647084/,"30.266736,59.949050","Уральская ул., 2",4.5
23114293206,https://yandex.ru/maps/org/ozon/23114293206/,"30.303853,59.986577","Торжковская ул., 1",4.5
104458731985,https://yandex.ru/maps/org/ozon/104458731985/,"30.283015,60.007056","Серебристый бул., 21",5.0
74794040308,https://yandex.ru/maps/org/ozon/74794040308/,"30.253106,60.022754","просп. Королёва, 47, корп. 1",4.8
235731533985,https://yandex.ru/maps/org/ozon/235731533985/,"30.269951,59.985883","Дибуновская ул., 37",4.6
